experiment,feature_set,features,q_low,q_high,config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,rows_2565,accuracy_2566,f1_2566,rows_2566,status,error
132,BASE_SSS,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sss",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5340909090909091,0.41818181818181815,0.11590909090909093,0.4414018157768158,0.41818181818181815,0.3147420634920635,55,0.65,0.568061568061568,60,OK,
133,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5787878787878787,0.4909090909090909,0.08787878787878786,0.5054291083348101,0.4909090909090909,0.3980872319688109,55,0.6666666666666666,0.6127709847008093,60,OK,
134,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.578030303030303,0.4727272727272727,0.10530303030303031,0.4678613785171162,0.4727272727272727,0.3444444444444444,55,0.6833333333333333,0.5912783125897879,60,OK,
135,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5871212121212122,0.4909090909090909,0.09621212121212122,0.48493788819875777,0.4909090909090909,0.3754313319530711,55,0.6833333333333333,0.5944444444444444,60,OK,
136,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.578030303030303,0.4727272727272727,0.10530303030303031,0.47515883363340994,0.4727272727272727,0.3444444444444444,55,0.6833333333333333,0.6058732228223754,60,OK,
137,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5772727272727273,0.45454545454545453,0.12272727272727271,0.46934647280335084,0.45454545454545453,0.3344322344322344,55,0.7,0.6042607111744673,60,OK,
138,BASE_DEPTH,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,depth",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.578030303030303,0.4727272727272727,0.10530303030303031,0.500900327742433,0.4727272727272727,0.36871794871794866,55,0.6833333333333333,0.6330827067669172,60,OK,
139,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.4315383365821962,0.43636363636363634,0.32789148797920725,55,0.6166666666666667,0.5351851851851852,60,OK,
140,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5962121212121212,0.509090909090909,0.08712121212121215,0.4990757780231464,0.509090909090909,0.4078272604588394,55,0.6833333333333333,0.5903242955874535,60,OK,
141,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5606060606060606,0.45454545454545453,0.10606060606060605,0.4677706552706553,0.45454545454545453,0.3596153846153846,55,0.6666666666666666,0.575925925925926,60,OK,
142,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5613636363636364,0.4727272727272727,0.08863636363636365,0.46797361589957487,0.4727272727272727,0.3719298245614035,55,0.65,0.5640174072377463,60,OK,
143,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5696969696969697,0.4727272727272727,0.09696969696969696,0.46082846003898636,0.4727272727272727,0.3457309941520468,55,0.6666666666666666,0.575925925925926,60,OK,
144,BASE_DEPTH_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year,depth",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.525,0.4,0.125,0.44464907826537703,0.4,0.3078341013824885,55,0.65,0.5814640551482656,60,OK,
145,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5363636363636364,0.4727272727272727,0.06363636363636363,0.4564878519970198,0.4727272727272727,0.3642526455026455,55,0.6,0.5487230584913941,60,OK,
