experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
115,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105_MED_105,0.5106060606060606,0.45454545454545453,0.05606060606060606,0.4454412525879917,0.45454545454545453,0.33469202898550726,0.5666666666666667,0.5561904761904762,OK,
116,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,LEAF2_LOW_13_MED_13,P_NORMAL,0.5356060606060606,0.45454545454545453,0.08106060606060608,0.47815391236443866,0.45454545454545453,0.35324422166527425,0.6166666666666667,0.6030636030636031,OK,
117,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105,0.5356060606060606,0.45454545454545453,0.08106060606060608,0.47815391236443866,0.45454545454545453,0.35324422166527425,0.6166666666666667,0.6030636030636031,OK,
118,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_110,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.47377799077540234,0.43636363636363634,0.3444923784872016,0.6166666666666667,0.6030636030636031,OK,
119,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,LEAF2_LOW_13_MED_13,P_MED_105,0.5181818181818182,0.43636363636363634,0.08181818181818182,0.45451770451770446,0.43636363636363634,0.3264143264143264,0.6,0.5826210826210826,OK,
120,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105_MED_105,0.5356060606060606,0.45454545454545453,0.08106060606060608,0.47815391236443866,0.45454545454545453,0.35324422166527425,0.6166666666666667,0.6030636030636031,OK,
121,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_BALANCED,P_NORMAL,0.553030303030303,0.4727272727272727,0.08030303030303029,0.48826659157198204,0.4727272727272727,0.37003205128205124,0.6333333333333333,0.6065011318619128,OK,
122,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_105,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.45823143717880555,0.43636363636363634,0.32943469785575047,0.6166666666666667,0.5870281765018607,OK,
123,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_110,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.45823143717880555,0.43636363636363634,0.32943469785575047,0.6166666666666667,0.5870281765018607,OK,
124,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_BALANCED,P_MED_105,0.5446969696969697,0.4727272727272727,0.07196969696969699,0.47224919477074645,0.4727272727272727,0.37003205128205124,0.6166666666666667,0.5744663382594417,OK,
